일자,개인투자자,외국인투자자,기관계,금융투자,보험,투신,기타금융,은행,연기금등,사모펀드,국가,기타법인,내외국인
20190318,63321,-126052,59500,61498,-1089,-6645,100,-306,10650,-4708,0,3067,164
20190315,-12818,-153200,165729,150719,-567,-11058,-592,-187,25245,2170,0,394,-105
20190314,56159,-63186,6486,86383,5412,14973,-5526,-1569,-86644,-6544,0,455,86
20190313,50383,-8205,-41750,2311,131,-404,-51,-835,-44154,1252,0,-528,100
20190312,-76842,54908,70316,61609,487,9944,-8,890,-9495,6889,0,-48365,-17
20190311,13218,-61077,46148,35066,2241,7219,0,670,441,512,0,1624,87
20190308,25183,-31865,9092,-4535,864,13070,-499,88,7712,-7609,0,-2717,307
20190307,-6081,1372,5043,5953,-3653,654,-29,1836,-10105,10386,0,-230,-104
20190306,-437,19921,-33600,7087,-4778,-13252,-303,-642,-23065,1352,0,13762,354
20190305,42652,-49356,6313,36912,-8299,-5530,107,-368,-13605,-2902,0,233,157
20190304,41832,-93771,45790,82478,-8498,-18681,-152,-273,-7008,-2077,0,5934,216
20190228,84360,-88964,4714,94827,-23420,-26112,-1009,3251,-24148,-18676,0,-474,363
20190227,-8955,4645,-635,37877,-8914,-22620,5,-348,-1538,-5097,0,4862,83
20190226,29653,27497,-57371,-18370,-8504,-8926,0,-94,-9825,-11652,0,-79,299
20190225,-62258,67032,-2370,31273,-12324,-5108,0,-539,-15852,180,0,-1497,-908
20190222,-37726,31436,1662,17600,-2518,-3204,0,-299,-8660,-1258,0,4761,-133
20190221,-14248,82531,-71247,-33532,-8750,-5712,-8,-50,-18643,-4552,0,3000,-37
20190220,-114828,145570,-29198,-2030,-6707,8,-373,-1790,-30904,12599,0,-949,-594
20190219,8992,-28352,19360,31495,-7132,-9662,-139,307,6034,-1544,0,-93,93
20190218,391,-23467,23439,63428,-6333,-13837,5,-754,-10124,-8946,0,-334,-29
20190215,93160,-60476,-38962,-21831,-9184,-13549,743,3116,11439,-9695,0,5523,756
20190214,-196693,141996,48240,86159,-10228,-11364,-304,-2049,-3127,-10847,0,7463,-1005
20190213,-36455,8502,27304,59095,-2728,-28049,-517,-775,-3316,3593,0,508,140
20190212,-71629,86599,-15828,36755,-10256,-9895,-27,-763,-43180,11538,0,716,143
20190211,-18272,20927,-2353,17774,-19401,-13097,-112,-1239,12868,855,0,-415,112
20190208,34489,-59936,30462,51412,-14169,-19776,-276,1671,21378,-9778,0,-4301,-714
20190207,-4992,66362,-58409,-34197,-11773,-12208,-49,437,2540,-3159,0,-1942,-1019
20190201,-81092,138459,-54717,-31065,-6142,-4827,-468,-214,-9830,-2171,0,-2163,-487
20190131,-101810,262950,-158818,-14643,-14887,-15993,-484,-1907,-115583,4678,0,-2182,-139
20190130,-162539,195908,-26787,18216,-1854,-15068,-60,-685,-34129,6794,0,-3624,-2958
20190129,-81778,186346,-91190,-29135,-4346,-35458,-258,-916,-25589,4513,0,-9635,-3743
20190128,-138855,346093,-194886,-62600,-17888,6789,-2815,-2378,-106882,-9112,0,-11769,-583
20190125,-287038,391409,-86917,-20295,-19510,-12816,-743,-1888,-32402,738,0,-16511,-943
20190124,-109832,208959,-98283,-60146,1372,-4326,-61,-3447,-22674,-9003,0,-567,-276
20190123,-8939,-89684,99587,104422,-1031,-12135,-393,-287,19542,-10532,0,-1042,78
20190122,-16590,15668,1817,2945,-12453,-15913,-290,1328,28753,-2553,0,-645,-251
20190121,-73415,71662,3265,-10408,236,-5822,-77,-1211,20574,-28,0,-1565,53
20190118,-60224,60651,1621,1450,416,1591,-25,-1523,1578,-1866,0,-1731,-317
20190117,-93576,130498,-34656,-61021,7058,11291,402,-896,624,7885,0,-2067,-199
20190116,-37303,57300,-19570,-34084,6973,-8900,-245,-647,15283,2050,0,-463,36
20190115,-84358,55429,29812,12014,3884,-2014,1842,-681,15604,-837,0,-596,-288
20190114,13459,62652,-81559,-74255,-9111,-5028,323,299,21186,-14973,0,5376,73
20190111,-96357,95809,-25122,-35288,-549,-2299,14,-1480,19321,-4841,0,25785,-115
20190110,-42148,145865,-101747,-144031,-1254,7036,0,355,29997,6149,0,-1676,-295
20190109,-117302,116381,592,-16249,3534,14376,-166,876,-18542,16762,0,662,-332
20190108,-5188,-48415,51887,5115,10739,9863,-176,1860,21486,2999,0,1849,-134
20190107,-55408,66586,-10693,3016,-2410,1531,190,-1526,-20201,8707,0,-271,-213
20190104,20023,-56328,33233,29215,-9058,-8486,-401,-3263,15889,9337,0,3122,-51
20190103,61514,9516,-70201,-14236,-7135,-11997,116,-233,-25326,-11391,0,-1103,274
20190102,-27921,49902,-21202,-45910,-1937,5852,21,-425,24318,-3121,0,-852,73
20181228,-41538,107906,-63821,-32912,2146,-2239,302,-368,-27493,-3257,0,-2665,118
20181227,77697,63977,-144990,-104374,-2677,1932,4158,-1248,-36183,-6598,0,3258,58
20181226,-72970,35582,44826,30058,-820,15284,-4538,-5829,14999,-4328,0,-7311,-127
20181224,-97900,56505,42282,24808,-8938,12516,-1992,-1753,652,16989,0,-993,106
20181221,6416,-96740,114994,99167,3503,-170,-560,-1446,-2392,16892,0,-24823,153
20181220,12453,-22923,11895,5429,-13385,85,-1705,-455,2321,19604,0,-1481,56
20181219,-12525,-20779,38566,40569,-4299,3455,-888,-70,-7937,7735,0,-5233,-29
20181218,-20129,-51917,70585,69945,-2672,2138,195,-1890,-14365,17233,0,1516,-56
20181217,-60712,26935,54836,60250,11211,-4202,0,-170,-23317,11064,0,-21169,110
20181214,93081,-6724,-88522,-4545,-25751,-32598,266,478,-21087,-5284,0,1981,184
20181213,87620,44481,-132275,-68936,-11908,4856,-2800,11138,-65590,966,0,135,39
20181212,34613,-56967,25390,92708,-6652,-15290,790,-165,-30778,-15222,0,-2993,-42
20181211,8588,15131,-24418,77574,-6044,-42486,260,-2010,-33309,-18402,0,663,37
20181210,73153,-113552,37710,89604,-2047,-12011,-536,-214,-11687,-25399,0,2497,191
20181207,5812,10200,-15773,31609,2351,-509,2248,-33,-9470,-16815,-25154,-272,33
20181206,181374,-212757,31661,54937,2780,-11036,-891,-722,-25051,-3120,14764,-737,459
20181205,116970,-191830,73264,63583,3147,-2345,1,-2416,-13564,-3141,27999,1010,586
20181204,167575,-95255,-74936,-51452,-2836,-4795,-459,147,-21053,-8881,14393,2290,326
20181203,-99939,147099,-44164,-7360,-9552,6890,-3154,-2526,12515,-8055,-32922,-848,-2149
20181130,149841,-72347,-78584,14388,-16010,-29805,-173,-217,-27271,-15275,-4220,1068,20
20181129,-7552,7037,-330,-4223,-2679,11354,-803,-429,6821,202,-10573,849,-5
20181128,-14373,-16097,30797,7547,-4317,4247,-468,108,542,17772,5367,-8,-320
20181127,-13446,51914,-37892,-26358,-8137,1379,0,177,3109,9411,-17472,-318,-258
20181126,-17735,-73427,92896,94486,1936,4264,-505,-495,-1456,-4087,-1247,-1177,-557
20181123,10917,16668,-23463,-10237,-1706,-2943,0,-379,3327,-8406,-3120,-3752,-370
20181122,-22448,907,28408,17872,-1711,3203,307,-1605,14897,-854,-3701,-6916,49
20181121,64683,-126632,72832,63877,7545,501,-81,82,-4022,-1216,6145,-11067,184
